GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mobility,edu.ucsb.cs156.mobility.interceptors,RoleInterceptorConfig,0,9,0,0,0,3,0,2,0,2
mobility,edu.ucsb.cs156.mobility.interceptors,RoleInterceptor,0,94,0,12,0,22,0,10,0,4
mobility,edu.ucsb.cs156.mobility.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
mobility,edu.ucsb.cs156.mobility.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
mobility,edu.ucsb.cs156.mobility.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
mobility,edu.ucsb.cs156.mobility.controllers,UserProfileController,0,53,0,0,0,8,0,4,0,4
mobility,edu.ucsb.cs156.mobility.controllers,RideController,0,309,0,16,0,52,0,20,0,12
mobility,edu.ucsb.cs156.mobility.controllers,ShiftController,0,140,0,0,0,28,0,9,0,9
mobility,edu.ucsb.cs156.mobility.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
mobility,edu.ucsb.cs156.mobility.controllers,DriversController,0,17,0,0,0,4,0,2,0,2
mobility,edu.ucsb.cs156.mobility.controllers,ChatMessageController,0,41,0,0,0,8,0,3,0,3
mobility,edu.ucsb.cs156.mobility.controllers,UsersController,0,198,0,6,0,26,0,15,0,12
mobility,edu.ucsb.cs156.mobility,MobilityApplication,5,3,0,0,2,1,1,1,1,1
mobility,edu.ucsb.cs156.mobility.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
mobility,edu.ucsb.cs156.mobility.services,SystemInfoServiceImpl,0,24,0,0,0,8,0,3,0,3
mobility,edu.ucsb.cs156.mobility.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
mobility,edu.ucsb.cs156.mobility.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
mobility,edu.ucsb.cs156.mobility.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
